nprobe,QPS,Recall@10
500,15913.9,0.4588
1500,7450.83,0.71
2500,5500.19,0.8154
3500,4185.65,0.8719
4500,3182.44,0.9046
5500,2667.58,0.9285
6500,2274.05,0.9426
7500,2158.74,0.9561
8500,1959.38,0.9649
9500,1640.82,0.9706
10500,1560.09,0.975
11500,1326.46,0.9767
12500,1335.76,0.9788
13500,1179.56,0.9803
14500,1101.37,0.9819
15500,1121.13,0.9824
16500,978.97,0.9834
17500,925.478,0.9836
18500,894.401,0.984
19500,915.794,0.9844
20500,905.786,0.9848
21500,727.726,0.9853
22500,755.274,0.9855
23500,804.519,0.9857
24500,684.79,0.986
25500,727.372,0.9862
26500,642.097,0.9862
27500,635.99,0.9863
28500,564.825,0.9864
29500,586.643,0.9865
30000,529.063,0.9865
500,16534.2,0.4667
1500,7318.08,0.7095
2500,4956.98,0.811
3500,4014.83,0.8679
4500,3239.35,0.8996
5500,2422.56,0.9228
6500,2252.66,0.9392
7500,2040.88,0.9499
8500,1717.65,0.9594
9500,1621.82,0.9647
10500,1481.33,0.9704
11500,1302.45,0.9752
12500,1226.19,0.9777
13500,1128.95,0.9793
14500,1095.12,0.9805
15500,1000.6,0.9817
16500,980.203,0.9823
17500,867.178,0.9828
18500,838.274,0.9833
19500,860.334,0.9835
20500,795.828,0.9837
21500,776.002,0.9839
22500,735.956,0.9845
23500,711.826,0.9845
24500,676.322,0.9846
25500,656.556,0.9847
26500,601.025,0.9848
27500,569.061,0.9848
28500,561.253,0.985
29500,549.181,0.985
30000,559.176,0.985
