nprobe,QPS,Recall@10
500,6086.07,0.755
1500,3586.95,0.9325
2500,2552.42,0.9625
3500,1950.54,0.97
4500,1581.82,0.974
5500,1328.63,0.977
6500,1130.12,0.9775
7500,989.73,0.978
8500,877.754,0.9785
9500,788.663,0.9785
10500,718.385,0.9785
11500,661.636,0.9785
12500,606.814,0.979
13500,565.722,0.979
14500,535.844,0.979
15500,503.724,0.979
16500,471.362,0.979
17500,448.618,0.979
18500,422.674,0.979
19500,399.431,0.979
20500,388.578,0.979
21500,368.05,0.979
22500,353.584,0.979
23500,338.529,0.979
24500,327.099,0.979
25500,314.337,0.9795
26500,301.19,0.9795
27500,294.258,0.9795
28500,282.694,0.9795
29500,275.174,0.9795
30000,269.057,0.9795
