nprobe,QPS,Recall@10
500,1747.34,0.9775
1500,1549.22,0.9775
2500,1497.76,0.9775
3500,1418.06,0.9775
4500,1524.87,0.9775
5500,1608.62,0.9775
6500,1564.54,0.9775
7500,1400.1,0.9775
8500,1356.3,0.9775
9500,1162.43,0.9775
10500,1095.54,0.9775
11500,1188.95,0.9775
12500,1541.52,0.9775
13500,1262.74,0.9775
14500,1263.37,0.9775
15500,1183.6,0.9775
16500,891.936,0.9775
17500,949.979,0.9775
18500,864.157,0.9775
19500,1300.35,0.9775
20500,1273.42,0.9775
21500,1348.82,0.9775
22500,1342.45,0.9775
23500,1651.91,0.9775
24500,1769.63,0.9775
25500,1824.06,0.9775
26500,1309.64,0.9775
27500,2098.35,0.9775
28500,2102.72,0.9775
29500,1791.79,0.9775
30000,2112.82,0.9775
