nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1256.3,1256.3
1500,1256.19,1256.19
2500,1256.27,1256.27
3500,1256.43,1256.43
4500,1256.28,1256.28
5500,1256.44,1256.44
6500,1256.33,1256.33
7500,1256.23,1256.23
8500,1256.27,1256.27
9500,1256.18,1256.18
10500,1256.06,1256.06
11500,1256.24,1256.24
12500,1256.39,1256.39
13500,1256.35,1256.35
14500,1256.26,1256.26
15500,1256.21,1256.21
16500,1256.25,1256.25
17500,1256.13,1256.13
18500,1256.39,1256.39
19500,1256.31,1256.31
20500,1256.26,1256.26
21500,1256.19,1256.19
22500,1256.21,1256.21
23500,1256.3,1256.3
24500,1256.33,1256.33
25500,1256.27,1256.27
26500,1256.27,1256.27
27500,1256.33,1256.33
28500,1256.18,1256.18
29500,1256.45,1256.45
30000,1256.16,1256.16
