nprobe,peak_memory_before_MB,peak_memory_after_MB
500,7505.14,7505.14
1500,7505.08,7505.08
2500,7505.17,7505.17
3500,7505.27,7505.27
4500,7505.21,7505.21
5500,7505.04,7505.04
6500,7505.04,7505.04
7500,7505.27,7505.27
8500,7505.17,7505.17
9500,7505,7505
10500,7505.3,7505.3
11500,7505.2,7505.2
12500,7505.25,7505.25
13500,7505.14,7505.14
14500,7505.08,7505.08
15500,7505.19,7505.19
16500,7505.06,7505.06
17500,7505.2,7505.2
18500,7505.2,7505.2
19500,7504.97,7504.97
20500,7504.94,7504.94
21500,7504.91,7504.91
22500,7505.12,7505.12
23500,7504.99,7504.99
24500,7504.93,7504.93
25500,7505.2,7505.2
26500,7505.01,7505.01
27500,7505.04,7505.04
28500,7505.18,7505.18
29500,7505,7505
30000,7504.89,7504.89
