nprobe,QPS,Recall@10
500,11843.1,0.984
1500,9215.82,0.984
2500,11457.2,0.984
3500,11445.9,0.984
4500,11488.3,0.984
5500,11560.9,0.984
6500,11392.3,0.984
7500,11840,0.984
8500,11717.1,0.984
9500,11515.6,0.984
10500,11741.6,0.984
11500,11646.1,0.984
12500,11426.7,0.984
13500,11576.6,0.984
14500,11302.4,0.984
15500,11614.2,0.984
16500,11365.2,0.984
17500,11347.7,0.984
18500,11411.8,0.984
19500,11564.5,0.984
20500,11801.7,0.984
21500,11723.7,0.984
22500,11550.2,0.984
23500,11364.6,0.984
24500,11713.2,0.984
25500,11285.6,0.984
26500,11862.7,0.984
27500,10469.8,0.984
28500,11481.6,0.984
29500,11482.9,0.984
30000,11397.1,0.984
