nprobe,peak_memory_before_MB,peak_memory_after_MB
500,7627.29,7627.29
1500,7627.15,7627.15
2500,7627.04,7627.04
3500,7627.32,7627.32
4500,7626.88,7626.88
5500,7627.2,7627.2
6500,7627.26,7627.26
7500,7627.26,7627.26
8500,7627.34,7627.34
9500,7627.18,7627.18
10500,7627.29,7627.29
11500,7627,7627
12500,7627.27,7627.27
13500,7627.29,7627.29
14500,7627.06,7627.06
15500,7627.01,7627.01
16500,7627.34,7627.34
17500,7627.29,7627.29
18500,7627.04,7627.04
19500,7627,7627
20500,7627.06,7627.06
21500,7627,7627
22500,7627.35,7627.35
23500,7627.16,7627.16
24500,7627.37,7627.37
25500,7627.05,7627.05
26500,7626.88,7626.88
27500,7627.17,7627.17
28500,7627.13,7627.13
29500,7627.31,7627.31
30000,7627.21,7627.21
