nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1111.95,1111.95
1500,1111.83,1111.83
2500,1111.54,1111.54
3500,1111.73,1111.73
4500,1111.63,1111.63
5500,1111.72,1111.72
6500,1111.73,1111.73
7500,1111.8,1111.8
8500,1111.82,1111.82
9500,1111.87,1111.87
10500,1111.97,1111.97
11500,1111.95,1111.95
12500,1111.64,1111.64
13500,1111.82,1111.82
14500,1111.91,1111.91
15500,1111.9,1111.9
16500,1111.63,1111.63
17500,1111.55,1111.55
18500,1111.8,1111.8
19500,1111.71,1111.71
20500,1111.9,1111.9
21500,1111.89,1111.89
22500,1111.77,1111.77
23500,1111.9,1111.9
24500,1111.78,1111.78
25500,1111.66,1111.66
26500,1111.95,1111.95
27500,1111.8,1111.8
28500,1112.01,1112.01
29500,1111.65,1111.65
30000,1111.71,1111.71
