nprobe,QPS,Recall@10
500,19872.8,0.178
1500,8352.06,0.3602
2500,5997.43,0.46
3500,4467.22,0.5353
4500,3611.29,0.5929
5500,2968.27,0.6397
6500,2563.2,0.6741
7500,2240.15,0.7058
8500,2011.57,0.7353
9500,1796.33,0.7586
10500,1647.94,0.7773
11500,1498.59,0.7921
12500,1382.93,0.8073
13500,1291.08,0.8203
14500,1197.28,0.8351
15500,1128.13,0.8446
16500,1051.79,0.854
17500,1001.37,0.8627
18500,947.739,0.8698
19500,899.81,0.8777
20500,856.549,0.8854
21500,819.34,0.8915
22500,779.342,0.898
23500,745.029,0.9032
24500,717.3,0.9072
25500,687.168,0.9129
26500,662.371,0.9172
27500,635.133,0.921
28500,614.731,0.9247
29500,595.212,0.9284
30000,585.015,0.9299
