nprobe,QPS,Recall@10
500,4353.51,0.97564
1500,2969.8,0.98386
2500,2971.61,0.98386
3500,2969.15,0.98386
4500,2970.95,0.98386
5500,2964.39,0.98386
6500,2960.35,0.98386
7500,2963.57,0.98386
8500,2966.74,0.98386
9500,2960.33,0.98386
10500,2957.6,0.98386
11500,2971.87,0.98386
12500,2959.69,0.98386
13500,2966,0.98386
14500,2966.36,0.98386
15500,2962.82,0.98386
16500,2964.19,0.98386
17500,2962.84,0.98386
18500,2957.78,0.98386
19500,2964.04,0.98386
20500,2959.42,0.98386
21500,2961.04,0.98386
22500,2958.46,0.98386
23500,2964.36,0.98386
24500,2960.52,0.98386
25500,2965.19,0.98386
26500,2954.29,0.98386
27500,2956.01,0.98386
28500,2969.45,0.98386
29500,2960.42,0.98386
30000,2947.9,0.98386
