nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1030.7,1030.7
1500,1030.67,1030.67
2500,1030.59,1030.59
3500,1030.58,1030.58
4500,1030.69,1030.69
5500,1030.76,1030.76
6500,1030.58,1030.58
7500,1030.71,1030.71
8500,1030.52,1030.52
9500,1030.78,1030.78
10500,1030.72,1030.72
11500,1030.46,1030.46
12500,1030.68,1030.68
13500,1030.64,1030.64
14500,1030.58,1030.58
15500,1030.61,1030.61
16500,1030.76,1030.76
17500,1030.72,1030.72
18500,1030.54,1030.54
19500,1030.75,1030.75
20500,1030.66,1030.66
21500,1030.54,1030.54
22500,1030.5,1030.5
23500,1030.62,1030.62
24500,1030.77,1030.77
25500,1030.73,1030.73
26500,1030.61,1030.61
27500,1030.36,1030.36
28500,1030.54,1030.54
29500,1030.52,1030.52
30000,1030.52,1030.52
