nprobe,QPS,Recall@10
500,10538.9,0.71429
1500,7136.9,0.90606
2500,5475.44,0.95211
3500,4399.78,0.9695
4500,3683.34,0.9775
5500,3129.22,0.98129
6500,2711.77,0.98348
7500,2434.07,0.98459
8500,2171.87,0.98507
9500,1979.74,0.98552
10500,1818.45,0.9858
11500,1676.17,0.98599
12500,1557.6,0.98609
13500,1438.19,0.98615
14500,1364.56,0.98622
15500,1283.6,0.98624
16500,1212.84,0.98625
17500,1133.69,0.98628
18500,1085.33,0.98628
19500,1027.22,0.98629
20500,987.074,0.98629
21500,943.093,0.98629
22500,901.942,0.98629
23500,853.061,0.98629
24500,819.956,0.98629
25500,793.61,0.98629
26500,743.618,0.98629
27500,734.875,0.98629
28500,708.806,0.98629
29500,683.288,0.98629
30000,672.1,0.98629
