nprobe,QPS,Recall@10
500,9210.3,0.71513
1500,5973.94,0.90594
2500,4488.58,0.95209
3500,3716.27,0.96937
4500,3060.6,0.97775
5500,2602.56,0.98118
6500,2256.16,0.98317
7500,2029.99,0.98418
8500,1769.2,0.98493
9500,1575.56,0.98532
10500,1482.39,0.98559
11500,1531.5,0.9858
12500,1255.52,0.98589
13500,1216.49,0.98601
14500,1107.36,0.98603
15500,1088.71,0.98603
16500,1023.1,0.98605
17500,967.455,0.98606
18500,897.306,0.98606
19500,852.851,0.98606
20500,832.644,0.98606
21500,826.173,0.98606
22500,746.237,0.98606
23500,709.374,0.98606
24500,697.035,0.98606
25500,666.27,0.98606
26500,635.278,0.98606
27500,613.236,0.98606
28500,626.74,0.98606
29500,570.371,0.98606
30000,560.046,0.98606
