nprobe,peak_memory_before_MB,peak_memory_after_MB
500,7505.02,7505.02
1500,7505.25,7505.25
2500,7505.14,7505.14
3500,7505.17,7505.17
4500,7505.23,7505.23
5500,7505.23,7505.23
6500,7505.29,7505.29
7500,7505.12,7505.12
8500,7505.04,7505.04
9500,7505.07,7505.07
10500,7505.14,7505.14
11500,7505.28,7505.28
12500,7505.23,7505.23
13500,7505.26,7505.26
14500,7504.93,7504.93
15500,7505.08,7505.08
16500,7505.3,7505.3
17500,7505.29,7505.29
18500,7504.97,7504.97
19500,7504.98,7504.98
20500,7505.29,7505.29
21500,7505.23,7505.23
22500,7504.98,7504.98
23500,7505.11,7505.11
24500,7505.04,7505.04
25500,7504.93,7504.93
26500,7504.93,7504.93
27500,7505.16,7505.16
28500,7505.09,7505.09
29500,7505.19,7505.19
30000,7504.94,7504.94
