nprobe,QPS,Recall@10
500,11124,0.43916
1500,7771.85,0.62031
2500,5973.94,0.70612
3500,4805.75,0.76033
4500,4068.65,0.80052
5500,3510.72,0.82907
6500,3123.81,0.8514
7500,2775.64,0.86933
8500,2499.08,0.88467
9500,2310.63,0.89697
10500,2125.26,0.90813
11500,1959.53,0.91791
12500,1815.82,0.92613
13500,1689.31,0.93292
14500,1580.13,0.93887
15500,1492.45,0.94422
16500,1406.49,0.94846
17500,1328.91,0.95251
18500,1260.74,0.9564
19500,1205.73,0.95945
20500,1144.61,0.9624
21500,1093.95,0.96516
22500,1048.87,0.96779
23500,1001.18,0.96978
24500,961.152,0.97141
25500,926.838,0.97318
26500,892.399,0.97467
27500,863.599,0.9758
28500,831.852,0.97669
29500,803.041,0.97781
30000,788.101,0.97823
