nprobe,QPS,Recall@10
500,2139.89,0.979
1500,1159.71,0.979
2500,1039.71,0.979
3500,700.516,0.979
4500,718.565,0.979
5500,720.836,0.979
6500,1207.9,0.979
7500,1212.72,0.979
8500,1203.89,0.979
9500,1212.73,0.979
10500,1218.54,0.979
11500,1217.88,0.979
12500,1164.79,0.979
13500,981.075,0.979
14500,1091.73,0.979
15500,419.549,0.979
16500,361.501,0.979
17500,1192.69,0.979
18500,1211.11,0.979
19500,1214.79,0.979
20500,1179.57,0.979
21500,1120.71,0.979
22500,1023.54,0.979
23500,989.195,0.979
24500,967.438,0.979
25500,1052.26,0.979
26500,917.993,0.979
27500,829.982,0.979
28500,928.528,0.979
29500,910.228,0.979
30000,1203.06,0.979
