nprobe,QPS,Recall@10
500,85500.4,0.43663
1500,49223.1,0.61677
2500,39504.1,0.70255
3500,34716.5,0.75807
4500,27983.7,0.797
5500,25974.5,0.82768
6500,22383.4,0.8502
7500,20086.8,0.86879
8500,16526.4,0.88471
9500,15466.3,0.89735
10500,15461.2,0.90781
11500,13310.1,0.91737
12500,11832.8,0.92525
13500,11170.5,0.93226
14500,10154.7,0.93837
15500,9642.23,0.94353
16500,8515.99,0.94816
17500,8571.24,0.9521
18500,8175.93,0.95576
19500,8013.88,0.95904
20500,7771.85,0.96212
21500,7489.61,0.96487
22500,6751.73,0.967
23500,6420.46,0.96954
24500,6434.34,0.97134
25500,6036.5,0.97277
26500,5802.02,0.97434
27500,5401.65,0.9757
28500,5485.54,0.97683
29500,5024.89,0.97788
30000,5112.44,0.97838
500,75970.7,0.43916
1500,52034.8,0.62031
2500,39560.1,0.70612
3500,33644.2,0.76033
4500,26685.3,0.80052
5500,22303.4,0.82907
6500,18929.8,0.8514
7500,18362.9,0.86933
8500,15935.8,0.88467
9500,13237.1,0.89697
10500,12242.5,0.90813
11500,12196.6,0.91791
12500,11316.2,0.92613
13500,9529.16,0.93292
14500,8861.72,0.93887
15500,8632.79,0.94422
16500,7768.42,0.94846
17500,7436.01,0.95251
18500,7118.92,0.9564
19500,6872.58,0.95945
20500,7384.42,0.9624
21500,6165.27,0.96516
22500,6285.32,0.96779
23500,5675.88,0.96978
24500,5487.29,0.97141
25500,5590.56,0.97318
26500,5359.35,0.97467
27500,5401.53,0.9758
28500,4802.41,0.97669
29500,4832.84,0.97781
30000,4592.01,0.97823
