QPS,Recall
31250.0,0.8072
17730.5,0.9223
10881.4,0.9611
6743.09,0.977
5162.62,0.9816
4295.53,0.984
3300.33,0.9866
3006.61,0.9875
2770.08,0.988
2417.21,0.9888
2168.26,0.9894
1966.57,0.9899
1815.21,0.9904
1698.95,0.9908
1592.86,0.9909
1421.46,0.9913
1046.57,0.9922
849.473,0.9925
27624.3,0.8072
16722.4,0.9223
15267.2,0.9356
10638.3,0.9611
7575.76,0.9733
6557.38,0.977
5830.9,0.9795
5202.91,0.981
4992.51,0.9816
4545.45,0.9827
4222.97,0.9835
4079.97,0.984
3988.83,0.9843
3728.56,0.985
3608.81,0.9852
3531.07,0.9855
3459.01,0.9858
3389.83,0.9863
3346.72,0.9865
3263.71,0.9866
2999.4,0.9875
2763.19,0.988
2537.43,0.9884
2347.97,0.9888
2235.14,0.9891
2115.51,0.9894
2047.5,0.9897
1981.77,0.9899
1880.41,0.9901
1806.03,0.9904
1738.83,0.9906
1432.66,0.9908
1199.18,0.9909
1122.21,0.9909
1146.92,0.9911
1039.18,0.9913
991.572,0.9914
953.743,0.9916
1181.2,0.9917
1177.3,0.9918
1138.56,0.9919
1099.14,0.992
1069.86,0.9921
1041.12,0.9922
844.167,0.9925
