QPS,Recall
32362.5,0.962
19723.9,0.9967
12771.4,0.9997
8163.27,1.0
6285.35,1.0
5221.93,1.0
4066.69,1.0
3646.97,1.0
3344.48,1.0
2897.71,1.0
2571.36,1.0
2349.07,1.0
2144.08,1.0
1986.49,1.0
1875.82,1.0
1665.0,1.0
1115.95,1.0
879.972,1.0
32362.5,0.962
19802.0,0.9967
17452.0,0.9981
12437.8,0.9997
9302.33,1.0
8116.88,1.0
7246.38,1.0
6527.42,1.0
6242.2,1.0
5767.01,1.0
5367.69,1.0
5083.88,1.0
4892.37,1.0
4595.59,1.0
4446.42,1.0
4349.72,1.0
4242.68,1.0
4051.86,1.0
3929.27,1.0
3872.97,1.0
3521.13,1.0
3239.39,1.0
3054.37,1.0
2844.95,1.0
2678.81,1.0
2540.65,1.0
2412.55,1.0
2301.5,1.0
2198.29,1.0
2067.4,1.0
2006.82,1.0
1962.32,1.0
1882.88,1.0
1822.16,1.0
1737.02,1.0
1654.81,1.0
1579.53,1.0
1526.02,1.0
1454.55,1.0
1383.32,1.0
1296.85,1.0
1214.18,1.0
1156.07,1.0
1111.23,1.0
865.052,1.0
