QPS,Recall
7692.31,0.933
6896.55,0.987
4761.9,0.998
2941.18,0.9995
2247.19,1.0
1851.85,1.0
1418.44,1.0
1282.05,1.0
1176.47,1.0
1010.1,1.0
888.889,1.0
800.0,1.0
732.601,1.0
675.676,1.0
626.959,1.0
552.486,1.0
380.952,1.0
280.505,1.0
4651.16,0.933
6666.67,0.987
6451.61,0.991
4761.9,0.998
3225.81,0.9995
2985.07,0.9995
2409.64,0.9995
1980.2,1.0
1904.76,1.0
1886.79,1.0
1818.18,1.0
1709.4,1.0
1652.89,1.0
1600.0,1.0
1550.39,1.0
1515.15,1.0
1481.48,1.0
1398.6,1.0
1333.33,1.0
1342.28,1.0
1212.12,1.0
1081.08,1.0
1036.27,1.0
980.392,1.0
913.242,1.0
851.064,1.0
813.008,1.0
778.21,1.0
743.494,1.0
729.927,1.0
664.452,1.0
655.738,1.0
641.026,1.0
628.931,1.0
588.235,1.0
554.017,1.0
522.193,1.0
495.049,1.0
471.698,1.0
441.501,1.0
429.185,1.0
413.223,1.0
396.825,1.0
380.952,1.0
280.505,1.0
