QPS,Recall
5263.16,0.6924
2941.18,0.8562
1769.91,0.9373
943.396,0.978
632.911,0.9885
576.037,0.9928
478.698,0.996
428.266,0.9968
388.651,0.9975
333.89,0.9979
295.508,0.9982
267.881,0.9989
243.132,0.9991
224.669,0.9993
207.512,0.9993
183.587,0.9994
131.909,0.9996
100.271,0.9996
5025.13,0.6924
2890.17,0.8562
2557.54,0.8809
1769.91,0.9373
1242.24,0.9706
1057.08,0.978
921.659,0.983
815.661,0.9869
746.269,0.9885
601.685,0.9911
419.992,0.9923
376.932,0.9928
328.839,0.9931
304.878,0.9941
276.472,0.9942
301.386,0.9946
302.024,0.9951
257.202,0.9956
234.302,0.9958
249.813,0.996
234.082,0.9968
357.27,0.9975
357.27,0.9976
328.515,0.9979
313.676,0.9981
296.209,0.9982
278.94,0.9986
265.182,0.9989
252.781,0.999
241.546,0.9991
231.267,0.9992
219.106,0.9993
196.464,0.9993
112.816,0.9993
111.161,0.9994
108.342,0.9994
97.3615,0.9994
149.165,0.9994
158.755,0.9995
151.768,0.9995
145.518,0.9995
139.899,0.9995
133.618,0.9995
128.271,0.9996
99.108,0.9996
