QPS,Recall
21881.8,0.5382
11037.5,0.7178
6523.16,0.8186
3621.88,0.8863
2627.43,0.914
2082.03,0.9293
1470.59,0.9468
1310.1,0.952
1165.37,0.9562
972.384,0.962
839.842,0.9658
740.412,0.969
666.267,0.9712
598.444,0.973
549.119,0.9745
454.38,0.9768
305.483,0.9818
212.567,0.9848
22831.1,0.5382
11299.4,0.7178
9803.92,0.7483
6527.42,0.8186
4364.91,0.8671
3635.04,0.8863
3116.24,0.8997
2701.24,0.9101
2562.79,0.914
2281.02,0.921
2147.77,0.9268
2074.69,0.9293
1970.44,0.9319
1811.27,0.9363
1773.05,0.9384
1703.87,0.9402
1646.36,0.9418
1545.12,0.9444
1463.7,0.9456
1463.06,0.9468
1291.49,0.952
1156.34,0.9562
1056.86,0.9594
961.261,0.962
899.281,0.964
834.307,0.9658
781.494,0.9676
720.357,0.969
674.082,0.9703
660.72,0.9712
632.911,0.9721
601.974,0.973
574.185,0.9737
552.608,0.9745
511.352,0.9757
473.53,0.9768
442.282,0.9776
413.138,0.9784
391.527,0.9791
369.563,0.9798
353.744,0.9804
334.526,0.9809
317.672,0.9813
307.286,0.9818
211.663,0.9848
