QPS,Recall
18248.2,0.7827
10298.7,0.919
6064.28,0.9713
3425.83,0.9922
2421.89,0.9967
1883.95,0.9983
1308.9,0.9994
1143.38,0.9996
1002.61,0.9997
809.782,0.9998
704.077,0.9999
613.648,0.9999
552.578,1.0
506.842,1.0
448.873,1.0
386.728,1.0
248.49,1.0
174.283,1.0
16949.2,0.7827
9794.32,0.919
8445.95,0.9365
5803.83,0.9713
3996.8,0.9878
3314.55,0.9922
2836.07,0.9946
2485.09,0.9961
2329.37,0.9967
2093.36,0.9975
1812.25,0.9981
1728.31,0.9983
1758.71,0.9985
1612.12,0.9988
1562.26,0.9989
1512.63,0.999
1459.64,0.9991
1372.12,0.9993
1303.78,0.9994
1310.62,0.9994
1149.56,0.9996
1000.5,0.9997
907.523,0.9998
828.02,0.9998
768.167,0.9999
680.689,0.9999
664.275,0.9999
616.827,0.9999
581.632,1.0
554.754,1.0
525.984,1.0
495.27,1.0
478.95,1.0
459.179,1.0
417.833,1.0
386.279,1.0
361.481,1.0
331.95,1.0
319.581,1.0
301.277,1.0
279.822,1.0
271.88,1.0
258.271,1.0
246.981,1.0
170.529,1.0
