QPS,Recall
4464.29,0.5211
2570.69,0.7063
1515.15,0.8234
859.107,0.9071
610.501,0.943
480.538,0.9617
341.297,0.9753
300.481,0.9791
268.312,0.9816
222.321,0.9864
190.367,0.989
169.492,0.9919
152.068,0.9935
137.855,0.9944
126.952,0.9945
109.613,0.9957
72.9501,0.9978
52.9886,0.9986
4149.38,0.5211
2557.54,0.7063
2237.14,0.7368
1503.76,0.8234
1030.93,0.8848
856.164,0.9071
719.942,0.9251
625.391,0.9374
609.013,0.943
526.316,0.9517
342.231,0.9588
263.227,0.9617
276.319,0.9648
241.371,0.9682
228.571,0.9696
245.7,0.9706
252.908,0.9717
228.363,0.9736
195.351,0.9746
243.546,0.9753
289.519,0.9791
252.143,0.9816
240.096,0.9847
221.779,0.9864
205.508,0.9878
185.701,0.989
177.274,0.9907
168.549,0.9919
158.504,0.9927
116.347,0.9935
85.8811,0.994
77.0891,0.9944
75.2219,0.9945
125.125,0.9945
116.09,0.9952
106.078,0.9957
100.563,0.9958
95.7671,0.9967
88.4956,0.9969
87.3515,0.9971
54.4484,0.9971
49.682,0.9973
71.9321,0.9977
71.9424,0.9978
51.9076,0.9986
