QPS,Recall
14285.7,0.9275
15384.6,0.963
11111.1,0.9885
6250.0,0.994
4545.45,0.997
3571.43,0.998
2531.65,0.998
2222.22,0.999
1960.78,0.999
1626.02,0.999
1388.89,0.999
1212.12,0.999
1075.27,1.0
975.61,1.0
881.057,1.0
751.88,1.0
471.698,1.0
322.581,1.0
14285.7,0.9275
15384.6,0.963
15384.6,0.975
10526.3,0.9885
7407.41,0.9925
6060.61,0.994
5263.16,0.9945
4761.9,0.997
4444.44,0.997
4081.63,0.997
3703.7,0.997
3508.77,0.998
3448.28,0.998
3174.6,0.998
3030.3,0.998
2941.18,0.998
2857.14,0.998
2631.58,0.998
2631.58,0.998
2531.65,0.998
2247.19,0.999
1980.2,0.999
1801.8,0.999
1652.89,0.999
1503.76,0.999
1398.6,0.999
1307.19,0.999
1219.51,0.999
1149.43,0.999
1081.08,1.0
1025.64,1.0
980.392,1.0
904.977,1.0
884.956,1.0
823.045,1.0
751.88,1.0
704.225,1.0
649.351,1.0
615.385,1.0
588.235,1.0
534.759,1.0
524.934,1.0
505.051,1.0
484.262,1.0
330.033,1.0
