QPS,Recall
4000.0,0.4858
2415.46,0.6656
1430.62,0.7888
814.996,0.8797
575.705,0.9205
449.035,0.9423
317.561,0.9648
276.625,0.9711
247.893,0.9751
205.592,0.9802
175.901,0.9834
154.012,0.9857
137.476,0.9877
124.285,0.9891
113.856,0.9906
98.1932,0.9926
64.3294,0.9964
45.8968,0.9976
4000.0,0.4858
2403.85,0.6656
2118.64,0.6985
1432.66,0.7888
980.392,0.8558
812.348,0.8797
671.592,0.8999
602.773,0.9138
562.114,0.9205
499.251,0.9303
463.822,0.9394
448.43,0.9423
430.293,0.9456
401.123,0.9507
380.084,0.9533
368.732,0.9551
359.195,0.9576
337.268,0.9616
327.761,0.9631
319.795,0.9648
276.549,0.9711
245.761,0.9751
223.015,0.9778
203.79,0.9802
185.977,0.9819
159.363,0.9834
164.636,0.985
154.536,0.9857
145.56,0.9866
137.798,0.9877
130.89,0.9887
125.109,0.9891
120.351,0.9897
113.843,0.9906
105.452,0.992
97.9432,0.9926
91.8105,0.9939
86.3185,0.9944
81.8733,0.9954
77.101,0.9955
73.7953,0.9955
70.0084,0.9958
67.3265,0.9962
64.0123,0.9964
46.1553,0.9976
