QPS,Recall
20000.0,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
9523.81,0.644
200000.0,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
200000.0,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
inf,0.644
200000.0,0.644
inf,0.644
200000.0,0.644
200000.0,0.644
200000.0,0.644
200000.0,0.644
200000.0,0.644
200000.0,0.644
200000.0,0.644
200000.0,0.644
200000.0,0.644
200000.0,0.644
200000.0,0.644
