QPS,Recall
4886,0.3694
3016,0.4279
2188,0.4642
1800,0.4731
1741,0.4776
1646,0.4795
1546,0.4826
1479,0.4866
1321,0.491
1199,0.4963
1164,0.4985
1111,0.5
