QPS,Recall
743.712,0.99903
870.122,0.99885
927.155,0.9988
994.694,0.99873
1076.9,0.99862
1180.61,0.99848
1314.34,0.99826
1494.73,0.99787
1760.27,0.99748
2186.95,0.99675
2526.33,0.99613
3018.43,0.99508
3278.5,0.99471
3639.31,0.99405
4058.31,0.99324
4601.18,0.9919
5333.81,0.98991
5805.63,0.98869
6370.83,0.98661
7073.5,0.98434
7960.23,0.9807
8513.93,0.97836
9129.66,0.97569
9841.65,0.97209
10683.9,0.96696
11724.7,0.95997
12958.6,0.95024
14568.5,0.93553
16657.8,0.91374
19688.4,0.87947
22043.3,0.84517
