QPS,Recall
9697,0.5256
5815,0.5981
4085,0.6362
3274,0.6555
3017,0.6615
2921,0.664
2740,0.6661
2564,0.6712
2318,0.6768
2047,0.6809
1959,0.685
1855,0.6866
