QPS,Recall@k10
8860.14,0.4915
6797.87,0.6785
5468.07,0.777
4589.68,0.836
3946.17,0.8715
3472.28,0.904
3095.64,0.9265
2796.34,0.9445
2561.9,0.9585
2368.83,0.9685
2059.27,0.9795
1713.37,0.9905
1353.18,0.9955
954.608,0.9995
