QPS,Recall@k10
476.19,0.332
445.434,0.528
418.41,0.646
395.257,0.721
373.832,0.7855
354.61,0.8275
321.027,0.8725
294.551,0.909
244.798,0.9535
210.526,0.972
184.672,0.983
164.745,0.9865
149.031,0.9925
136.24,0.9965
125.549,0.9975
116.414,0.998
101.678,0.999
