QPS,Recall@k10
8920.61,0.21372
5841.12,0.31097
4359.2,0.37374
3483.11,0.41862
2901.92,0.45505
2485.09,0.48467
1933.11,0.53095
1581.03,0.56839
1088.26,0.63702
830.703,0.68521
671.862,0.72406
562.43,0.75486
485.531,0.77971
427.077,0.80098
380.677,0.81912
343.525,0.83562
286.747,0.86231
246.834,0.88218
216.722,0.89854
192.868,0.91247
173.445,0.92367
145.043,0.94202
124.497,0.95664
109.042,0.96685
97.144,0.97422
87.6593,0.98006
