QPS,Recall@k10
1879.7,0.138
1275.51,0.2327
961.538,0.3085
771.605,0.3664
644.33,0.4192
553.71,0.4639
431.965,0.5326
355.366,0.5867
244.499,0.6806
187.056,0.7379
151.172,0.7853
127.389,0.8228
110.035,0.8482
96.8711,0.8676
86.5127,0.8859
78.3331,0.9003
65.6858,0.9237
56.6926,0.9416
49.9451,0.954
44.5971,0.9626
40.4253,0.9697
33.8857,0.9811
29.4161,0.987
25.8819,0.9919
23.1954,0.9939
21.0137,0.9957
