QPS,Recall@k10
9861.93,0.27525
6618.13,0.41799
4980.08,0.51365
3982.48,0.58044
3320.05,0.63261
2848.19,0.67591
2216.31,0.73734
1817.19,0.78361
1264.54,0.85715
968.617,0.89915
787.092,0.92567
662.647,0.9436
570.776,0.95634
500.927,0.96554
447.107,0.97307
403.714,0.97817
339.42,0.98554
293.789,0.99042
258.565,0.99357
230.803,0.99559
208.268,0.99672
174.7,0.99804
150.741,0.99899
132.163,0.99944
117.244,0.99968
106.055,0.99981
